City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Delhi,2023-06-11,65,24.6,154.1,43.2,34.9,1.3,110.1
Delhi,2023-06-12,87,225.8,110.2,19.1,8.1,1.6,74.4
Delhi,2023-06-13,414,88.0,298.5,55.4,23.8,1.6,20.9
Delhi,2023-06-14,409,37.5,203.3,88.4,28.5,2.2,57.3
Delhi,2023-06-15,166,109.3,251.7,42.9,37.0,0.9,44.4
Delhi,2023-06-16,180,99.8,62.7,92.7,5.2,2.1,20.3
Delhi,2023-06-17,99,188.7,124.3,17.4,4.9,2.4,71.8
Delhi,2023-06-18,393,39.3,119.0,68.2,38.0,2.2,89.3
Delhi,2023-06-19,197,154.1,118.5,59.9,12.2,1.7,34.7
Delhi,2023-06-20,105,94.0,175.8,15.9,15.4,0.7,57.2
Delhi,2023-06-21,337,243.9,249.2,63.3,32.8,0.3,112.2
Delhi,2023-06-22,474,176.4,28.1,31.0,38.6,2.3,48.6
Delhi,2023-06-23,142,218.8,178.6,43.1,8.8,1.7,13.4
Delhi,2023-06-24,432,137.3,125.3,48.1,9.6,0.9,45.7
Delhi,2023-06-25,340,153.1,267.3,19.8,38.2,0.3,19.0
Delhi,2023-06-26,276,168.9,156.0,47.0,15.1,1.9,22.5
Delhi,2023-06-27,270,36.6,209.9,61.3,27.3,0.9,34.3
Delhi,2023-06-28,356,23.1,77.2,94.8,38.8,2.0,41.8
Delhi,2023-06-29,111,11.9,229.2,21.7,20.2,1.8,65.0
Delhi,2023-06-30,476,170.3,119.2,42.7,37.6,1.2,60.6
Delhi,2023-07-01,89,216.9,181.2,59.5,36.1,1.2,22.7
Delhi,2023-07-02,60,241.9,68.1,95.0,24.1,1.8,49.8
Delhi,2023-07-03,273,212.7,88.1,60.9,27.2,1.1,44.1
Delhi,2023-07-04,223,63.2,238.2,12.3,32.4,1.4,31.3
Delhi,2023-07-05,447,93.9,223.7,82.8,41.1,0.7,26.1
Delhi,2023-07-06,151,51.6,62.8,77.1,5.6,2.4,79.1
Delhi,2023-07-07,287,191.1,232.8,47.6,46.4,1.5,79.9
Delhi,2023-07-08,369,87.6,291.9,35.0,23.1,1.3,79.5
Delhi,2023-07-09,457,75.9,35.7,53.2,16.9,1.2,16.3
Delhi,2023-07-10,475,78.9,200.5,97.9,6.3,1.6,52.3
Delhi,2023-07-11,347,143.0,241.7,90.1,23.6,2.1,81.7
Delhi,2023-07-12,214,155.2,160.4,96.0,23.6,2.1,102.1
Delhi,2023-07-13,415,30.2,200.9,8.7,36.0,2.5,67.6
Delhi,2023-07-14,362,48.1,124.4,31.9,21.6,1.0,75.8
Delhi,2023-07-15,454,161.4,113.7,36.3,28.8,1.1,37.7
Delhi,2023-07-16,486,167.6,273.8,88.0,18.0,1.5,25.6
Delhi,2023-07-17,229,84.5,203.7,67.9,8.2,1.8,19.3
Delhi,2023-07-18,336,100.4,241.7,82.3,34.2,2.1,91.3
Delhi,2023-07-19,400,229.0,46.2,68.7,26.4,0.2,44.0
Delhi,2023-07-20,159,92.0,234.5,23.2,50.0,0.6,42.5
Delhi,2023-07-21,453,34.3,235.8,84.3,44.4,0.3,47.0
Delhi,2023-07-22,442,158.3,187.2,19.7,10.7,1.8,78.7
Delhi,2023-07-23,134,183.1,32.2,39.6,36.5,2.4,77.2
Delhi,2023-07-24,435,189.6,145.7,55.7,16.9,2.1,61.6
Delhi,2023-07-25,477,56.6,209.9,59.2,23.1,2.0,95.6
Delhi,2023-07-26,307,136.6,290.6,82.6,40.5,0.5,37.5
Delhi,2023-07-27,378,125.3,123.9,93.8,36.1,1.4,23.7
Delhi,2023-07-28,92,193.1,96.4,91.0,9.1,1.2,114.1
Delhi,2023-07-29,163,206.0,267.7,93.4,21.9,1.1,51.1
Delhi,2023-07-30,247,248.7,125.0,7.7,46.7,2.1,81.5
Delhi,2023-07-31,455,45.1,30.7,92.2,24.7,2.1,93.5
Delhi,2023-08-01,290,117.7,21.5,12.5,14.3,2.1,70.4
Delhi,2023-08-02,422,156.1,138.5,78.7,13.4,0.5,36.2
Delhi,2023-08-03,377,200.5,148.0,15.5,45.4,1.6,11.8
Delhi,2023-08-04,313,148.0,221.2,32.7,2.1,1.0,72.8
Delhi,2023-08-05,145,169.4,44.0,97.6,5.2,1.4,65.8
Delhi,2023-08-06,309,143.0,129.3,49.7,32.5,2.5,37.9
Delhi,2023-08-07,58,95.7,38.9,27.9,33.5,0.4,74.0
Delhi,2023-08-08,437,89.8,32.4,56.9,41.0,0.6,95.7
Delhi,2023-08-09,287,245.4,154.0,22.3,8.5,1.8,113.8
Delhi,2023-08-10,68,80.4,32.3,23.9,4.0,2.3,66.7
Delhi,2023-08-11,467,140.3,90.9,76.6,11.2,1.0,95.9
Delhi,2023-08-12,493,167.4,96.5,80.9,23.0,1.1,58.4
Delhi,2023-08-13,247,91.4,72.3,70.7,19.6,2.0,39.3
Delhi,2023-08-14,92,184.5,42.1,62.2,41.5,1.5,45.3
Delhi,2023-08-15,90,88.7,102.8,47.4,36.4,0.6,58.8
Delhi,2023-08-16,278,20.2,263.6,38.5,49.9,0.8,117.8
Delhi,2023-08-17,79,28.0,198.5,39.5,40.5,1.8,114.8
Delhi,2023-08-18,123,213.7,209.9,46.6,8.1,0.7,81.0
Delhi,2023-08-19,235,101.9,178.8,62.5,34.6,2.4,50.9
Delhi,2023-08-20,440,28.5,58.6,39.9,17.1,0.8,115.7
Delhi,2023-08-21,63,186.6,159.7,41.8,29.0,0.8,38.6
Delhi,2023-08-22,278,61.5,191.3,70.9,49.9,0.7,24.9
Delhi,2023-08-23,87,118.5,271.6,47.3,6.2,1.8,103.0
Delhi,2023-08-24,213,170.3,218.7,57.2,15.9,0.9,27.3
Delhi,2023-08-25,413,232.6,198.6,80.4,26.4,0.5,32.1
Delhi,2023-08-26,121,66.8,158.3,39.3,29.5,1.3,118.1
Delhi,2023-08-27,116,156.9,44.1,34.4,50.0,1.9,67.8
Delhi,2023-08-28,443,108.3,181.0,16.9,17.2,0.4,61.2
Delhi,2023-08-29,314,92.7,265.8,79.1,32.7,0.6,116.3
Delhi,2023-08-30,271,130.7,263.1,84.0,26.9,0.9,27.8
Delhi,2023-08-31,413,64.1,285.3,54.3,15.6,0.4,31.6
Delhi,2023-09-01,332,75.9,195.0,63.4,6.5,1.7,75.1
Delhi,2023-09-02,347,47.0,204.4,73.5,31.0,2.1,72.0
Delhi,2023-09-03,472,217.3,42.7,95.1,39.0,0.8,33.2
Delhi,2023-09-04,342,110.0,198.9,52.3,32.1,0.9,115.2
Delhi,2023-09-05,297,68.8,246.1,43.6,23.8,1.8,27.4
Delhi,2023-09-06,262,126.2,77.1,62.6,17.0,1.9,90.8
Delhi,2023-09-07,490,92.9,131.6,77.3,26.7,0.4,36.6
Delhi,2023-09-08,112,74.2,89.4,14.2,15.9,1.1,77.7
Delhi,2023-09-09,177,241.0,272.6,82.3,46.8,1.9,30.9
Delhi,2023-09-10,131,129.6,164.1,52.4,16.8,0.3,114.0
Delhi,2023-09-11,308,119.7,87.4,60.4,4.3,0.8,75.7
Delhi,2023-09-12,481,167.0,151.8,56.0,42.7,1.2,107.1
Delhi,2023-09-13,422,97.8,132.9,9.3,4.5,1.5,49.9
Delhi,2023-09-14,197,27.6,161.2,77.6,15.4,2.5,84.8
Delhi,2023-09-15,110,40.9,47.1,40.5,49.4,1.5,50.2
Delhi,2023-09-16,123,57.8,162.6,52.5,4.2,0.5,46.6
Delhi,2023-09-17,292,134.6,61.7,89.8,8.7,2.3,45.0
Delhi,2023-09-18,251,247.7,227.0,33.4,18.1,2.1,68.6
Delhi,2023-09-19,412,145.1,153.0,6.6,17.9,0.5,55.8
Delhi,2023-09-20,207,201.2,223.1,70.4,3.3,1.3,116.4
Delhi,2023-09-21,450,243.3,182.0,26.6,4.5,1.3,67.7
Delhi,2023-09-22,419,158.7,255.5,19.0,34.7,0.3,114.3
Delhi,2023-09-23,106,55.8,143.5,44.8,21.8,0.7,65.2
Delhi,2023-09-24,363,230.9,264.4,74.9,5.0,0.5,32.8
Delhi,2023-09-25,216,249.5,153.9,40.8,47.9,1.3,68.6
Delhi,2023-09-26,329,95.0,236.2,73.5,32.9,1.8,77.1
Delhi,2023-09-27,148,239.8,98.1,33.4,47.2,2.5,94.8
Delhi,2023-09-28,410,59.7,217.4,35.1,18.7,2.3,97.5
Delhi,2023-09-29,190,79.1,180.6,56.6,45.0,1.1,48.0
Delhi,2023-09-30,445,203.1,101.3,32.3,36.3,1.0,58.7
Delhi,2023-10-01,181,189.4,79.9,83.7,15.0,1.5,39.9
Delhi,2023-10-02,105,157.8,184.3,28.0,34.2,1.4,80.2
Delhi,2023-10-03,76,34.0,112.5,49.9,34.7,0.5,116.1
Delhi,2023-10-04,130,107.7,281.8,88.4,24.9,0.7,116.0
Delhi,2023-10-05,214,78.5,36.6,78.0,33.3,0.7,91.3
Delhi,2023-10-06,485,234.8,275.7,21.6,44.3,0.6,111.2
Delhi,2023-10-07,478,105.3,158.7,94.0,48.2,2.3,106.4
Delhi,2023-10-08,54,81.6,188.8,93.2,18.1,1.2,80.5
Delhi,2023-10-09,318,128.5,282.8,85.9,24.5,0.6,22.4
Delhi,2023-10-10,133,185.5,201.5,73.3,2.7,1.0,42.5
Delhi,2023-10-11,395,191.7,69.1,86.3,45.1,2.1,66.7
Delhi,2023-10-12,94,106.2,46.7,98.3,24.9,2.4,10.8
Delhi,2023-10-13,246,66.5,231.1,95.6,16.5,1.9,11.3
Delhi,2023-10-14,384,96.3,86.2,68.4,24.3,0.6,85.5
Delhi,2023-10-15,410,194.8,213.3,65.7,47.2,1.0,34.3
Delhi,2023-10-16,118,124.8,147.4,98.9,19.9,1.8,110.4
Delhi,2023-10-17,437,139.0,205.9,25.7,13.9,1.9,106.0
Delhi,2023-10-18,91,136.1,167.9,39.4,46.0,0.5,101.2
Delhi,2023-10-19,308,58.5,170.3,20.6,43.0,1.2,84.8
Delhi,2023-10-20,417,150.0,45.5,53.5,40.8,1.2,66.5
Delhi,2023-10-21,283,145.3,176.5,68.9,16.8,0.3,38.0
Delhi,2023-10-22,51,189.0,181.9,9.3,18.5,0.3,119.4
Delhi,2023-10-23,85,246.7,152.2,32.3,10.6,0.5,80.6
Delhi,2023-10-24,423,165.0,137.7,99.3,20.4,2.2,109.7
Delhi,2023-10-25,242,29.3,290.0,88.1,8.4,2.2,23.0
Delhi,2023-10-26,325,104.3,55.7,98.0,42.1,1.9,117.6
Delhi,2023-10-27,287,171.6,172.4,55.5,41.5,0.8,48.1
Delhi,2023-10-28,191,55.2,265.1,77.7,3.5,1.7,77.6
Delhi,2023-10-29,58,67.8,38.8,61.4,23.4,1.7,105.9
Delhi,2023-10-30,175,187.7,132.6,27.3,12.4,2.2,16.2
Delhi,2023-10-31,307,248.4,85.6,92.1,29.7,1.5,95.0
Delhi,2023-11-01,469,87.0,104.5,18.6,33.7,0.7,43.1
Delhi,2023-11-02,81,143.6,185.7,74.8,10.4,1.8,71.1
Delhi,2023-11-03,74,243.3,283.6,68.8,39.7,0.9,55.8
Delhi,2023-11-04,126,82.0,71.5,56.1,13.6,0.7,104.3
Delhi,2023-11-05,123,203.4,276.1,58.4,48.5,1.5,24.8
Delhi,2023-11-06,174,71.2,112.5,12.5,23.6,1.1,68.9
Delhi,2023-11-07,474,55.7,95.2,69.0,30.9,2.2,30.7
Delhi,2023-11-08,439,151.0,208.0,25.6,12.0,2.3,43.4
Delhi,2023-11-09,57,60.8,73.2,75.4,37.9,1.9,110.6
Delhi,2023-11-10,406,155.1,77.3,91.9,28.5,2.0,51.9
Delhi,2023-11-11,323,165.7,106.4,39.2,44.4,1.3,98.3
Delhi,2023-11-12,419,122.7,255.1,91.9,19.8,1.2,71.9
Delhi,2023-11-13,163,187.9,24.5,57.6,30.0,1.9,42.5
Delhi,2023-11-14,150,89.2,126.4,84.2,26.0,1.7,85.3
Delhi,2023-11-15,181,193.2,156.8,73.7,37.5,1.3,90.6
Delhi,2023-11-16,230,50.6,221.7,51.4,46.0,1.4,80.6
Delhi,2023-11-17,80,135.7,254.9,12.1,41.3,0.3,10.7
Delhi,2023-11-18,120,212.2,84.8,72.2,2.4,1.4,51.1
Delhi,2023-11-19,366,163.1,281.5,91.7,33.6,0.2,68.5
Delhi,2023-11-20,260,12.8,168.2,31.1,48.9,0.2,99.4
Delhi,2023-11-21,395,113.3,283.1,22.0,46.1,1.4,36.5
Delhi,2023-11-22,367,136.3,248.3,30.4,21.1,1.1,54.7
Delhi,2023-11-23,339,68.4,215.2,33.5,41.7,0.4,119.1
Delhi,2023-11-24,382,192.3,46.2,41.0,28.5,0.3,11.0
Delhi,2023-11-25,137,29.8,256.7,66.3,17.9,2.4,117.1
Delhi,2023-11-26,320,230.6,84.3,90.6,35.2,1.5,39.8
Delhi,2023-11-27,88,174.3,98.5,56.6,33.6,0.6,103.5
Delhi,2023-11-28,58,240.8,184.4,76.5,36.2,1.1,18.5
Delhi,2023-11-29,133,145.3,178.7,85.7,34.5,1.4,52.2
Delhi,2023-11-30,428,43.6,296.8,73.8,26.0,2.4,15.9
Delhi,2023-12-01,273,65.7,41.3,62.5,31.5,1.6,116.6
Delhi,2023-12-02,217,17.1,96.5,99.3,25.5,1.0,113.5
Delhi,2023-12-03,271,54.6,184.0,41.1,39.1,0.9,37.1
Delhi,2023-12-04,87,29.7,63.2,72.6,32.4,1.9,44.8
Delhi,2023-12-05,104,32.0,284.0,47.2,38.5,0.4,19.6
Delhi,2023-12-06,270,117.7,175.3,43.8,3.3,1.0,20.2
Delhi,2023-12-07,356,198.3,261.8,6.2,21.9,2.0,89.7
Delhi,2023-12-08,336,227.2,293.9,59.3,10.1,1.1,25.3
Delhi,2023-12-09,204,74.4,60.9,20.9,15.2,0.9,96.1
Delhi,2023-12-10,234,70.4,89.0,64.4,30.5,0.6,21.8
Delhi,2023-12-11,205,11.6,130.8,85.0,20.2,2.2,58.4
Delhi,2023-12-12,270,205.7,260.7,97.6,8.5,0.9,114.2
Delhi,2023-12-13,152,125.0,69.7,42.8,17.3,1.9,79.6
Delhi,2023-12-14,344,197.7,111.2,31.6,39.7,1.0,112.5
Delhi,2023-12-15,152,152.1,172.8,69.8,28.4,2.4,60.8
Delhi,2023-12-16,412,60.3,243.4,84.0,5.3,2.1,97.5
Delhi,2023-12-17,394,129.8,197.3,28.0,33.6,1.8,96.8
Delhi,2023-12-18,87,117.8,187.4,60.3,27.6,2.3,105.7
Delhi,2023-12-19,264,140.5,241.4,39.2,45.0,1.4,80.2
Delhi,2023-12-20,93,36.2,89.5,68.1,10.0,1.6,72.0
Delhi,2023-12-21,380,172.6,131.9,76.5,48.4,1.2,11.2
Delhi,2023-12-22,182,63.3,229.1,58.0,35.0,0.7,51.2
Delhi,2023-12-23,287,195.4,184.8,52.5,18.6,0.3,21.5
Delhi,2023-12-24,262,230.9,44.0,84.0,37.0,1.0,47.7
Delhi,2023-12-25,451,59.6,155.2,50.2,23.0,1.8,45.1
Delhi,2023-12-26,203,20.7,219.0,7.1,18.5,0.5,98.0
Delhi,2023-12-27,429,68.5,68.8,20.2,28.9,2.4,35.5
Delhi,2023-12-28,257,161.1,72.2,67.4,21.0,1.9,107.1
Delhi,2023-12-29,280,152.1,128.9,71.9,11.9,1.9,99.0
Delhi,2023-12-30,82,148.6,243.9,56.0,19.6,0.7,22.5
Delhi,2023-12-31,393,217.0,167.8,65.7,30.7,1.6,74.6
Mumbai,2023-01-01,228,94.5,148.2,21.4,34.3,2.0,111.1
